,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
21341,Transport: type 2,Working,Laborers,,,,,
21342,Self-employed,Working,UNKNOWN,,,,,
21343,Self-employed,Commercial associate,Security staff,,,,,
21344,Government,State servant,UNKNOWN,,,,,
21345,Self-employed,Commercial associate,Core staff,,,,,
21346,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21347,Medicine,Working,Medicine staff,,,,,
21348,Trade: type 7,Commercial associate,UNKNOWN,,,,,
21349,Business Entity Type 2,Working,UNKNOWN,,,,,
21350,Kindergarten,Working,Laborers,,,,,
21351,Advertising,Commercial associate,UNKNOWN,,,,,
21352,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21353,Medicine,Working,Medicine staff,,,,,
21354,Emergency,Working,UNKNOWN,,,,,
21355,Trade: type 2,Working,Core staff,,,,,
21356,Medicine,Working,Accountants,,,,,
21357,Transport: type 4,Working,Accountants,,,,,
21358,Business Entity Type 3,Commercial associate,Laborers,,,,,
21359,Industry: type 7,Working,Laborers,,,,,
21360,Business Entity Type 1,Working,UNKNOWN,,,,,
21361,Medicine,State servant,Drivers,,,,,
21362,Business Entity Type 1,Working,Laborers,,,,,
21363,Self-employed,Commercial associate,Medicine staff,,,,,
21364,Other,Working,Laborers,,,,,
21365,Construction,Working,Laborers,,,,,
21366,XNA,Pensioner,UNKNOWN,,,,,
21367,Self-employed,Working,Sales staff,,,,,
21368,Business Entity Type 2,Working,Laborers,,,,,
21369,Agriculture,Working,UNKNOWN,,,,,
21370,Business Entity Type 3,Commercial associate,Laborers,,,,,
21371,Government,Working,Accountants,,,,,
21372,Self-employed,Commercial associate,Sales staff,,,,,
21373,Business Entity Type 2,Working,UNKNOWN,,,,,
21374,Other,Working,Laborers,,,,,
21375,Self-employed,Working,Cooking staff,,,,,
21376,XNA,Pensioner,UNKNOWN,,,,,
21377,Business Entity Type 3,Working,Sales staff,,,,,
21378,Business Entity Type 3,Commercial associate,Laborers,,,,,
21379,Business Entity Type 2,Working,UNKNOWN,,,,,
21380,XNA,Pensioner,UNKNOWN,,,,,
21381,Military,State servant,Core staff,,,,,
21382,Business Entity Type 2,Working,Laborers,,,,,
21383,Business Entity Type 3,Working,Sales staff,,,,,
21384,Police,Working,High skill tech staff,,,,,
21385,Business Entity Type 3,Working,Laborers,,,,,
21386,XNA,Pensioner,UNKNOWN,,,,,
21387,Business Entity Type 3,Working,Sales staff,,,,,
21388,Self-employed,Working,Sales staff,,,,,
21389,Business Entity Type 3,Working,High skill tech staff,,,,,
21390,Agriculture,Working,Drivers,,,,,
21391,Self-employed,Commercial associate,Sales staff,,,,,
21392,XNA,Pensioner,UNKNOWN,,,,,
21393,Business Entity Type 3,Working,Laborers,,,,,
21394,Self-employed,Working,Sales staff,,,,,
21395,Business Entity Type 1,Commercial associate,Sales staff,,,,,
21396,Industry: type 7,Working,UNKNOWN,,,,,
21397,Business Entity Type 3,Working,Drivers,,,,,
21398,Military,State servant,Security staff,,,,,
21399,XNA,Pensioner,UNKNOWN,,,,,
21400,Trade: type 3,Working,Sales staff,,,,,
21401,XNA,Pensioner,UNKNOWN,,,,,
21402,Trade: type 7,Working,Sales staff,,,,,
21403,XNA,Pensioner,UNKNOWN,,,,,
21404,Construction,Working,Drivers,,,,,
21405,Business Entity Type 3,Working,Laborers,,,,,
21406,Business Entity Type 3,Commercial associate,Accountants,,,,,
21407,Business Entity Type 3,Working,UNKNOWN,,,,,
21408,XNA,Pensioner,UNKNOWN,,,,,
21409,Other,Working,UNKNOWN,,,,,
21410,Business Entity Type 1,Commercial associate,Laborers,,,,,
21411,XNA,Pensioner,UNKNOWN,,,,,
21412,XNA,Pensioner,UNKNOWN,,,,,
21413,Business Entity Type 3,Working,Laborers,,,,,
21414,University,State servant,Laborers,,,,,
21415,Agriculture,Working,Security staff,,,,,
21416,Electricity,Working,Laborers,,,,,
21417,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21418,Insurance,Commercial associate,UNKNOWN,,,,,
21419,University,Working,UNKNOWN,,,,,
21420,Self-employed,Commercial associate,Laborers,,,,,
21421,XNA,Pensioner,UNKNOWN,,,,,
21422,Other,Working,UNKNOWN,,,,,
21423,Other,State servant,Medicine staff,,,,,
21424,Self-employed,Commercial associate,Managers,,,,,
21425,School,State servant,Managers,,,,,
21426,Business Entity Type 2,Commercial associate,Sales staff,,,,,
21427,Self-employed,Working,Drivers,,,,,
21428,XNA,Pensioner,UNKNOWN,,,,,
21429,Bank,Commercial associate,Core staff,,,,,
21430,Medicine,Commercial associate,Medicine staff,,,,,
21431,Business Entity Type 3,Commercial associate,Cleaning staff,,,,,
21432,Construction,Working,Managers,,,,,
21433,Self-employed,Working,UNKNOWN,,,,,
21434,Industry: type 11,State servant,Drivers,,,,,
21435,Business Entity Type 3,Commercial associate,Managers,,,,,
21436,Business Entity Type 2,Working,Laborers,,,,,
21437,Industry: type 4,Working,Laborers,,,,,
21438,XNA,Pensioner,UNKNOWN,,,,,
21439,Business Entity Type 3,Working,UNKNOWN,,,,,
21440,Transport: type 4,Working,Accountants,,,,,
21441,XNA,Pensioner,UNKNOWN,,,,,
21442,Security,Working,Security staff,,,,,
21443,Business Entity Type 3,Working,High skill tech staff,,,,,
21444,Industry: type 3,Working,Low-skill Laborers,,,,,
21445,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21446,Trade: type 2,Working,Sales staff,,,,,
21447,Business Entity Type 3,Commercial associate,Laborers,,,,,
21448,Trade: type 7,Commercial associate,Core staff,,,,,
21449,Business Entity Type 3,Working,High skill tech staff,,,,,
21450,Other,Commercial associate,Sales staff,,,,,
21451,XNA,Pensioner,UNKNOWN,,,,,
21452,Emergency,State servant,Drivers,,,,,
21453,Business Entity Type 3,Working,Managers,,,,,
21454,Self-employed,Working,Drivers,,,,,
21455,Industry: type 1,Working,UNKNOWN,,,,,
21456,Business Entity Type 1,Commercial associate,Laborers,,,,,
21457,Medicine,Working,Core staff,,,,,
21458,Bank,Working,Drivers,,,,,
21459,Agriculture,Commercial associate,Core staff,,,,,
21460,School,State servant,Core staff,,,,,
21461,XNA,Pensioner,UNKNOWN,,,,,
21462,Construction,Working,Managers,,,,,
21463,Business Entity Type 3,Commercial associate,Core staff,,,,,
21464,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21465,Business Entity Type 2,Working,UNKNOWN,,,,,
21466,Industry: type 4,Working,Drivers,,,,,
21467,Postal,State servant,Core staff,,,,,
21468,Business Entity Type 3,Working,Drivers,,,,,
21469,Trade: type 7,Working,Managers,,,,,
21470,Business Entity Type 1,Working,UNKNOWN,,,,,
21471,Services,Commercial associate,Sales staff,,,,,
21472,Medicine,Working,Medicine staff,,,,,
21473,Business Entity Type 1,Working,Laborers,,,,,
21474,Business Entity Type 3,Commercial associate,Laborers,,,,,
21475,Construction,Working,Laborers,,,,,
21476,Housing,Working,Cleaning staff,,,,,
21477,Transport: type 4,Working,Cooking staff,,,,,
21478,Government,Working,Drivers,,,,,
21479,XNA,Pensioner,UNKNOWN,,,,,
21480,Business Entity Type 3,Working,Laborers,,,,,
21481,Government,Working,UNKNOWN,,,,,
21482,Agriculture,Working,Laborers,,,,,
21483,Business Entity Type 3,Working,Drivers,,,,,
21484,Medicine,Working,Medicine staff,,,,,
21485,Trade: type 3,Commercial associate,Sales staff,,,,,
21486,Self-employed,Commercial associate,Drivers,,,,,
21487,XNA,Pensioner,UNKNOWN,,,,,
21488,XNA,Pensioner,UNKNOWN,,,,,
21489,Industry: type 9,Commercial associate,Accountants,,,,,
21490,Business Entity Type 3,Working,Sales staff,,,,,
21491,XNA,Pensioner,UNKNOWN,,,,,
21492,Business Entity Type 2,Working,UNKNOWN,,,,,
21493,Business Entity Type 3,Working,UNKNOWN,,,,,
21494,Business Entity Type 3,Working,Cooking staff,,,,,
21495,Business Entity Type 3,Commercial associate,Managers,,,,,
21496,Business Entity Type 3,Working,UNKNOWN,,,,,
21497,Industry: type 9,Working,Laborers,,,,,
21498,Business Entity Type 3,Working,UNKNOWN,,,,,
21499,Self-employed,Commercial associate,UNKNOWN,,,,,
21500,Hotel,Working,Medicine staff,,,,,
21501,Self-employed,Commercial associate,Sales staff,,,,,
21502,Restaurant,Working,UNKNOWN,,,,,
21503,Business Entity Type 3,Commercial associate,Laborers,,,,,
21504,Postal,Commercial associate,Managers,,,,,
21505,Government,Working,Core staff,,,,,
21506,Police,State servant,Core staff,,,,,
21507,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21508,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21509,Other,Working,High skill tech staff,,,,,
21510,Housing,Working,High skill tech staff,,,,,
21511,Business Entity Type 3,Working,Drivers,,,,,
21512,Business Entity Type 3,Working,Laborers,,,,,
21513,Trade: type 7,Working,Sales staff,,,,,
21514,Industry: type 2,Commercial associate,Managers,,,,,
21515,Industry: type 3,Commercial associate,Laborers,,,,,
21516,Bank,Commercial associate,Core staff,,,,,
21517,Business Entity Type 1,Commercial associate,Laborers,,,,,
21518,Trade: type 3,Working,Cleaning staff,,,,,
21519,Trade: type 3,Working,Accountants,,,,,
21520,Trade: type 7,Working,Laborers,,,,,
21521,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21522,Business Entity Type 3,Commercial associate,Cooking staff,,,,,
21523,Business Entity Type 3,Working,Drivers,,,,,
21524,Housing,State servant,Core staff,,,,,
21525,Other,Working,Laborers,,,,,
21526,Business Entity Type 3,Working,Laborers,,,,,
21527,XNA,Pensioner,UNKNOWN,,,,,
21528,Business Entity Type 1,Working,Drivers,,,,,
21529,Realtor,Commercial associate,Core staff,,,,,
21530,XNA,Pensioner,UNKNOWN,,,,,
21531,Kindergarten,Commercial associate,Medicine staff,,,,,
21532,Business Entity Type 1,Working,Laborers,,,,,
21533,Trade: type 2,Working,Low-skill Laborers,,,,,
21534,Business Entity Type 2,Commercial associate,Laborers,,,,,
21535,Construction,Commercial associate,High skill tech staff,,,,,
21536,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21537,XNA,Pensioner,UNKNOWN,,,,,
21538,Business Entity Type 3,Working,UNKNOWN,,,,,
21539,Other,State servant,Medicine staff,,,,,
21540,Self-employed,Working,UNKNOWN,,,,,
21541,Business Entity Type 3,Commercial associate,Laborers,,,,,
21542,Business Entity Type 3,Working,UNKNOWN,,,,,
21543,XNA,Pensioner,UNKNOWN,,,,,
21544,Transport: type 2,State servant,Drivers,,,,,
21545,Self-employed,Working,UNKNOWN,,,,,
21546,Government,Working,Core staff,,,,,
21547,Business Entity Type 2,Commercial associate,Cleaning staff,,,,,
21548,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
21549,Self-employed,Working,UNKNOWN,,,,,
21550,Kindergarten,Working,Core staff,,,,,
21551,Business Entity Type 2,Working,UNKNOWN,,,,,
21552,XNA,Pensioner,UNKNOWN,,,,,
21553,Construction,Working,Accountants,,,,,
21554,Business Entity Type 3,Working,Medicine staff,,,,,
21555,Business Entity Type 3,Commercial associate,Laborers,,,,,
21556,Other,Working,Private service staff,,,,,
21557,Government,Working,UNKNOWN,,,,,
21558,Business Entity Type 3,Commercial associate,Accountants,,,,,
21559,Kindergarten,State servant,Core staff,,,,,
21560,Kindergarten,Working,UNKNOWN,,,,,
21561,Business Entity Type 3,Commercial associate,Accountants,,,,,
21562,Housing,Working,Cleaning staff,,,,,
21563,Business Entity Type 3,Working,Laborers,,,,,
21564,XNA,Pensioner,UNKNOWN,,,,,
21565,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
21566,Business Entity Type 3,Working,UNKNOWN,,,,,
21567,Industry: type 1,Working,Secretaries,,,,,
21568,Industry: type 4,Working,Laborers,,,,,
21569,Government,Working,UNKNOWN,,,,,
21570,University,Commercial associate,UNKNOWN,,,,,
21571,XNA,Pensioner,UNKNOWN,,,,,
21572,School,State servant,Managers,,,,,
21573,Agriculture,Working,Low-skill Laborers,,,,,
21574,XNA,Pensioner,UNKNOWN,,,,,
21575,XNA,Pensioner,UNKNOWN,,,,,
21576,Industry: type 4,Working,Laborers,,,,,
21577,Transport: type 2,Working,Laborers,,,,,
21578,XNA,Pensioner,UNKNOWN,,,,,
21579,XNA,Pensioner,UNKNOWN,,,,,
21580,Government,Working,UNKNOWN,,,,,
21581,Agriculture,Working,Drivers,,,,,
21582,Police,State servant,Core staff,,,,,
21583,Business Entity Type 3,Commercial associate,Core staff,,,,,
21584,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21585,Self-employed,Working,High skill tech staff,,,,,
21586,Government,State servant,Core staff,,,,,
21587,Business Entity Type 3,Commercial associate,Managers,,,,,
21588,Security,Working,Drivers,,,,,
21589,Business Entity Type 3,Working,Laborers,,,,,
21590,Transport: type 4,Working,Accountants,,,,,
21591,Self-employed,Commercial associate,Sales staff,,,,,
21592,Transport: type 4,Working,High skill tech staff,,,,,
21593,XNA,Pensioner,UNKNOWN,,,,,
21594,Self-employed,Working,Laborers,,,,,
21595,Self-employed,Working,Sales staff,,,,,
21596,Kindergarten,Working,UNKNOWN,,,,,
21597,XNA,Pensioner,UNKNOWN,,,,,
21598,XNA,Pensioner,UNKNOWN,,,,,
21599,Self-employed,Commercial associate,UNKNOWN,,,,,
21600,Self-employed,Working,Sales staff,,,,,
21601,XNA,Pensioner,UNKNOWN,,,,,
21602,Government,Working,Managers,,,,,
21603,Transport: type 2,Working,Laborers,,,,,
21604,Self-employed,Commercial associate,Managers,,,,,
21605,XNA,Pensioner,UNKNOWN,,,,,
21606,Trade: type 2,Commercial associate,Core staff,,,,,
21607,XNA,Pensioner,UNKNOWN,,,,,
21608,Kindergarten,Working,Security staff,,,,,
21609,XNA,Pensioner,UNKNOWN,,,,,
21610,Government,Working,Laborers,,,,,
21611,XNA,Pensioner,UNKNOWN,,,,,
21612,Police,Working,Core staff,,,,,
21613,Police,State servant,Core staff,,,,,
21614,Trade: type 1,Commercial associate,Sales staff,,,,,
21615,Self-employed,Working,UNKNOWN,,,,,
21616,Kindergarten,Working,Core staff,,,,,
21617,Self-employed,Working,Drivers,,,,,
21618,XNA,Pensioner,UNKNOWN,,,,,
21619,School,Working,High skill tech staff,,,,,
21620,XNA,Pensioner,UNKNOWN,,,,,
21621,Business Entity Type 3,Commercial associate,Managers,,,,,
21622,Trade: type 7,Commercial associate,Sales staff,,,,,
21623,Kindergarten,Working,Core staff,,,,,
21624,University,Commercial associate,UNKNOWN,,,,,
21625,Hotel,Working,Security staff,,,,,
21626,School,Working,Managers,,,,,
21627,XNA,Pensioner,UNKNOWN,,,,,
21628,Medicine,State servant,Medicine staff,,,,,
21629,Industry: type 9,Working,High skill tech staff,,,,,
21630,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21631,Trade: type 3,Commercial associate,Core staff,,,,,
21632,School,State servant,Managers,,,,,
21633,Business Entity Type 2,Commercial associate,Laborers,,,,,
21634,Security,Working,Security staff,,,,,
21635,XNA,Pensioner,UNKNOWN,,,,,
21636,Business Entity Type 3,Working,Sales staff,,,,,
21637,Kindergarten,Commercial associate,Managers,,,,,
21638,Business Entity Type 3,Working,UNKNOWN,,,,,
21639,Trade: type 3,Working,Laborers,,,,,
21640,Medicine,Working,Laborers,,,,,
21641,Services,Working,Managers,,,,,
21642,Self-employed,Working,Laborers,,,,,
21643,Other,Working,Managers,,,,,
21644,Military,State servant,Managers,,,,,
21645,Self-employed,Commercial associate,Private service staff,,,,,
21646,Restaurant,Commercial associate,Cooking staff,,,,,
21647,Self-employed,Working,Sales staff,,,,,
21648,Business Entity Type 2,Working,Laborers,,,,,
21649,Business Entity Type 3,Working,Laborers,,,,,
21650,School,State servant,Core staff,,,,,
21651,Housing,State servant,Managers,,,,,
21652,Business Entity Type 3,Commercial associate,Accountants,,,,,
21653,Business Entity Type 3,Working,UNKNOWN,,,,,
21654,Business Entity Type 3,Working,Managers,,,,,
21655,Business Entity Type 3,Commercial associate,Cooking staff,,,,,
21656,Security,Working,Security staff,,,,,
21657,XNA,Pensioner,UNKNOWN,,,,,
21658,Business Entity Type 3,Commercial associate,Laborers,,,,,
21659,Kindergarten,State servant,Core staff,,,,,
21660,XNA,Pensioner,UNKNOWN,,,,,
21661,Business Entity Type 3,Working,UNKNOWN,,,,,
21662,XNA,Pensioner,UNKNOWN,,,,,
21663,Self-employed,Working,Laborers,,,,,
21664,XNA,Pensioner,UNKNOWN,,,,,
21665,Other,Commercial associate,UNKNOWN,,,,,
21666,Agriculture,Working,Laborers,,,,,
21667,Postal,State servant,Laborers,,,,,
21668,Government,Working,Laborers,,,,,
21669,Self-employed,Working,Sales staff,,,,,
21670,Telecom,Working,Accountants,,,,,
21671,School,Commercial associate,Core staff,,,,,
21672,Military,Working,High skill tech staff,,,,,
21673,Trade: type 7,Working,Sales staff,,,,,
21674,Business Entity Type 3,Working,Managers,,,,,
21675,Electricity,Working,Core staff,,,,,
21676,Construction,Working,Laborers,,,,,
21677,Government,State servant,Laborers,,,,,
21678,Medicine,Working,Medicine staff,,,,,
21679,Trade: type 6,Commercial associate,Laborers,,,,,
21680,XNA,Pensioner,UNKNOWN,,,,,
21681,Business Entity Type 3,Working,Managers,,,,,
21682,Self-employed,Working,Accountants,,,,,
21683,Self-employed,Working,UNKNOWN,,,,,
21684,Other,Commercial associate,Drivers,,,,,
21685,Business Entity Type 3,Working,Cleaning staff,,,,,
21686,Industry: type 7,Commercial associate,Laborers,,,,,
21687,Business Entity Type 1,Working,UNKNOWN,,,,,
21688,Business Entity Type 3,Working,Sales staff,,,,,
21689,Business Entity Type 3,Commercial associate,Sales staff,,,,,
21690,Business Entity Type 3,Commercial associate,Managers,,,,,
21691,School,State servant,High skill tech staff,,,,,
21692,Business Entity Type 3,Working,UNKNOWN,,,,,
21693,Industry: type 3,Working,Drivers,,,,,
21694,XNA,Pensioner,UNKNOWN,,,,,
21695,Trade: type 2,Working,Core staff,,,,,
21696,Medicine,Working,Medicine staff,,,,,
21697,Self-employed,Working,UNKNOWN,,,,,
21698,Business Entity Type 1,Working,Laborers,,,,,
21699,Business Entity Type 3,Commercial associate,Laborers,,,,,
21700,Other,Commercial associate,Sales staff,,,,,
21701,XNA,Pensioner,UNKNOWN,,,,,
21702,Industry: type 11,Working,Laborers,,,,,
21703,Other,Working,UNKNOWN,,,,,
21704,Trade: type 7,Working,Laborers,,,,,
21705,Agriculture,Working,UNKNOWN,,,,,
21706,XNA,Pensioner,UNKNOWN,,,,,
21707,Self-employed,Working,Drivers,,,,,
21708,Other,Commercial associate,UNKNOWN,,,,,
21709,Business Entity Type 3,Working,Security staff,,,,,
21710,Medicine,Working,UNKNOWN,,,,,
21711,Self-employed,Commercial associate,Managers,,,,,
21712,Business Entity Type 1,Working,Sales staff,,,,,
21713,School,Working,Core staff,,,,,
21714,Other,Working,Managers,,,,,
21715,Medicine,Working,Managers,,,,,
21716,XNA,Pensioner,UNKNOWN,,,,,
21717,Other,Working,UNKNOWN,,,,,
21718,Other,Working,UNKNOWN,,,,,
21719,Business Entity Type 3,Working,UNKNOWN,,,,,
21720,Business Entity Type 3,Working,Laborers,,,,,
21721,Business Entity Type 3,Working,Laborers,,,,,
21722,Business Entity Type 3,Working,UNKNOWN,,,,,
21723,Self-employed,Working,Laborers,,,,,
21724,Kindergarten,Working,Core staff,,,,,
21725,Business Entity Type 3,Working,Laborers,,,,,
21726,Business Entity Type 3,Working,Sales staff,,,,,
21727,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
21728,Transport: type 2,Working,Laborers,,,,,
